x, y
0.04994511358117025, 0.01110083201401616
0.1, 0.034227593607425874
0.15005488641882975, 0.07215540809110584
0.20098795553893561, 0.11470862570904407
0.25016465925648923, 0.16466236977211726
0.30021954567531906, 0.2146161138351906
0.35027443209414877, 0.2701202739052722
0.4003293185129785, 0.3256244339753536
0.4503842049318083, 0.382978704483562
0.500439091350638, 0.43755785168089356
0.5504939777694678, 0.4949121221891021
0.5996706814870215, 0.5494911846938064
0.699780454324681, 0.6604995471802828
0.7507136038423609, 0.7113783464624197
0.7990121248586385, 0.7659574513134376
0.820087866508672, 0.7881591153414702
0.8394072427561534, 0.8075855713659987
0.859604882102485, 0.8288621801749677
0.8798025214488165, 0.8501387466376232
0.8991218976962979, 0.8723404106656559
0.9201976393463315, 0.8926919642555614
0.939517015593813, 0.9195189678983818
1.0001, 1.0001
